发表时间,类别,标题,大小,种子,下载,完成,UP主 / 代号,magnet
2021/01/09,动画,[風車字幕組十周年][名偵探柯南][976][尋找妻子的秘密][1080P][繁體][MP4],386.9MB,0,0,0,風車字幕組,magnet:?xt=urn:btih:3dbea7a652b60018c4bf436303148572a3d24f16&tr=http://open.acgtracker.com:1096/announce
2021/01/09,动画,[风车字幕组十周年][名侦探柯南][976][追踪!  侦探出租车][1080P][简体][MP4],387.3MB,6,1,3,风车字幕组,magnet:?xt=urn:btih:bf3726d818167e29aedacdbd2c6afd17f1409eec&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[APTX4869][CONAN][名侦探柯南 956&957 解谜水上巴士][HDTV][简体MP4],358.1MB,20,0,9,柯南事务所,magnet:?xt=urn:btih:755a12f3b2f79cac30a87360483f35ae71f45bbf&tr=http://open.acgtracker.com:1096/announce
2021/01/08,音乐,[狐狸小宮][无水印收藏版][名侦探柯南OP52][all at once - JUST BELIEVE YOU ~feat. 倉木麻衣~][PV][中日字幕&假名标注][简繁双版][x264_flac][WEBrip][1080P][MKV],222.8MB,14,1,6,狐狸小宮,magnet:?xt=urn:btih:f16a3065f11cd67414fc82e9f5e9e57fec3ba97a&tr=http://open.acgtracker.com:1096/announce
2021/01/08,音乐,[狐狸小宮][名侦探柯南OP52][all at once - JUST BELIEVE YOU ~feat. 倉木麻衣~][PV][中日字幕&假名标注][简繁双版][x264_aac][WEBrip][1080P][MP4],179.3MB,10,0,5,狐狸小宮,magnet:?xt=urn:btih:4458c7ab4b653b12b4c68f29189dc091b012e15e&tr=http://open.acgtracker.com:1096/announce
2021/01/06,动画,[APTX4869][CONAN][名侦探柯南 869&870 消失在悬崖的柯南][HDTV][MKV],605.1MB,16,0,8,柯南事务所,magnet:?xt=urn:btih:5516b27fb3db96161ca277fa384f74ffd13cf4a6&tr=http://open.acgtracker.com:1096/announce
2021/01/06,动画,[風車字幕組十周年][名偵探柯南][975][尋找妻子的秘密][1080P][繁體][MP4],287.5MB,0,0,0,風車字幕組,magnet:?xt=urn:btih:67d4b0d022333380ec81670e2b0293203d3633d5&tr=http://open.acgtracker.com:1096/announce
2021/01/06,动画,[风车字幕组十周年][名侦探柯南][975][寻找妻子的秘密][1080P][简体][MP4],287.6MB,6,0,4,风车字幕组,magnet:?xt=urn:btih:497cdba88d6cc88220cc48bfb0eb921894b24bbc&tr=http://open.acgtracker.com:1096/announce
2021/01/06,动画,[風車字幕組十周年][名偵探柯南][974][目標是警視廳交通部（檔案4）][1080P][繁體][MP4],262.9MB,22,0,7,風車字幕組,magnet:?xt=urn:btih:ef5b87b4501094ed403f617bb4b4dbed53ecb53c&tr=http://open.acgtracker.com:1096/announce
2021/01/06,动画,[风车字幕组十周年][名侦探柯南][974][目标是警视厅交通部（档案4）][1080P][简体][MP4],263MB,0,0,0,风车字幕组,magnet:?xt=urn:btih:147b1930f3440e4d22c92ac1e1e0ff45b25a997f&tr=http://open.acgtracker.com:1096/announce
2021/01/06,动画,[風車字幕組十周年][名偵探柯南][973][目標是警視廳交通部（檔案3）][1080P][繁體][MP4],266.8MB,26,1,11,風車字幕組,magnet:?xt=urn:btih:8358c0f4d931c24f1f218f47171c1c82904731be&tr=http://open.acgtracker.com:1096/announce
2021/01/06,动画,[风车字幕组十周年][名侦探柯南][973][目标是警视厅交通部（档案3）][1080P][简体][MP4],266.8MB,6,0,3,风车字幕组,magnet:?xt=urn:btih:ce4cf141ad74e67b378c90a0e444d67c0393160a&tr=http://open.acgtracker.com:1096/announce
2021/01/06,动画,[風車字幕組十周年][名偵探柯南][972][目標是警視廳交通部（檔案2）][1080P][繁體][MP4],316.9MB,14,0,8,風車字幕組,magnet:?xt=urn:btih:372bd31f3f9609109aefd2dce91e7a4c91cc1d36&tr=http://open.acgtracker.com:1096/announce
