发表时间,类别,标题,大小,种子,下载,完成,UP主 / 代号,magnet
2021/01/04,动画,【肥羊-Raws 11th anniversary】[放学后海堤日记][放課後ていぼう日誌][BDrip][1080P_x265(10bit)-FLAC][ALL],18.9GB,27,3,8,付出了喜悦,magnet:?xt=urn:btih:aa81d53fc663a37ca87f0b405518c049bbab439e&tr=http://open.acgtracker.com:1096/announce
2021/01/04,动画,[VCB-Studio] Utawarerumono: Itsuwari no Kamen / 传颂之物 虚伪的假面 10-bit 1080p HEVC BDrip [Reseed Fin],27.5GB,42,1,14,VCB-Studio,magnet:?xt=urn:btih:9a57fd8bc64ed5a6039362d8b59424ee7a167642&tr=http://open.acgtracker.com:1096/announce
2021/01/04,动画,【幻櫻字幕組】【1月新番】【碧藍航線：微速前進！ Azur Lane Bisoku Zenshin!】【01~02】【BD先行】【BIG5_MP4】【1920X1080】,184MB,81,4,20,幻櫻字幕組,magnet:?xt=urn:btih:fcad2402097207300b767a0ceea2215373cc2b2f&tr=http://open.acgtracker.com:1096/announce
2021/01/04,动画,【幻樱字幕组】【1月新番】【碧蓝航线：微速前进！ Azur Lane Bisoku Zenshin!】【01~02】【BD先行】【GB_MP4】【1920X1080】,183.9MB,29,1,8,幻樱字幕组,magnet:?xt=urn:btih:2d6599e7af827ea02bca04b2d8afa20c180183a0&tr=http://open.acgtracker.com:1096/announce
2021/01/04,动画,【幻櫻字幕組】【1月新番】【碧藍航線：微速前進！ Azur Lane Bisoku Zenshin!】【01~02】【BD先行】【BIG5_MP4】【1280X720】,102.9MB,53,0,12,幻櫻字幕組,magnet:?xt=urn:btih:607a0c1ed45df2309f80d42fa9cc395db3604a76&tr=http://open.acgtracker.com:1096/announce
2021/01/04,动画,【幻樱字幕组】【1月新番】【碧蓝航线：微速前进！ Azur Lane Bisoku Zenshin!】【01~02】【BD先行】【GB_MP4】【1280X720】,102.8MB,0,0,0,幻樱字幕组,magnet:?xt=urn:btih:20228e0aadea135cbfe2d3d963e07b71906d1852&tr=http://open.acgtracker.com:1096/announce
2021/01/02,动画,[LY-RAW][BDrip][刀剑神域异界战争篇_SAO_Alicization&War_of_Underworld][系列补完_附特典/音乐27CD/内封简中][HEVC 10BIT][网盘分流],51.7GB,0,0,0,zhangtao80s,magnet:?xt=urn:btih:87f52058955d9ca4fa004247e3dfaf170be67c4b&tr=http://open.acgtracker.com:1096/announce
2021/01/02,动画,[桜都字幕组] 家有女友 / Domestic na Kanojo [TV01-12+SP Fin][BDrip][1080p][简繁日外挂],3.6GB,0,0,0,桜都字幕组,magnet:?xt=urn:btih:221e46ba026dc35d7b6fb59c4048bf06cc4832a6&tr=http://open.acgtracker.com:1096/announce
2021/01/02,动画,【喵萌奶茶屋】[灰色：幻影扳机 / グリザイア：ファントムトリガー THE ANIMATION / Grisaia: Phantom Trigger][BDrip][03][1080p][简繁外挂],2.2GB,50,0,12,喵萌奶茶屋,magnet:?xt=urn:btih:676e74dd9b792b8e9fd5610bfd13b130f6661121&tr=http://open.acgtracker.com:1096/announce
2021/01/02,动画,【喵萌奶茶屋】[灰色：幻影扳機 / グリザイア：ファントムトリガー THE ANIMATION / Grisaia: Phantom Trigger][BDrip][03][1080p][繁體][招募翻譯校對],809.9MB,0,0,0,喵萌奶茶屋,magnet:?xt=urn:btih:9822776d281d9d48b56ce0be7e0c20f2ab53051e&tr=http://open.acgtracker.com:1096/announce
2021/01/02,动画,【喵萌奶茶屋】[灰色：幻影扳机 / グリザイア：ファントムトリガー THE ANIMATION / Grisaia: Phantom Trigger][BDrip][03][1080p][简体][招募翻译校对],809.2MB,0,0,0,喵萌奶茶屋,magnet:?xt=urn:btih:0146da62a79600f340b93211074200277875a2c3&tr=http://open.acgtracker.com:1096/announce
2021/01/02,动画,【喵萌奶茶屋】[灰色：幻影扳機 / グリザイア：ファントムトリガー THE ANIMATION / Grisaia: Phantom Trigger][BDrip][03][720p][繁體][招募翻譯校對],408.9MB,71,0,12,喵萌奶茶屋,magnet:?xt=urn:btih:e8c2579539631472bdd114a8d2348951e6710afa&tr=http://open.acgtracker.com:1096/announce
2021/01/02,动画,【喵萌奶茶屋】[灰色：幻影扳机 / グリザイア：ファントムトリガー THE ANIMATION / Grisaia: Phantom Trigger][BDrip][03][720p][简体][招募翻译校对],408.7MB,11,0,7,喵萌奶茶屋,magnet:?xt=urn:btih:e1208bb7a11a08c9ab02aa3f847672939783b437&tr=http://open.acgtracker.com:1096/announce
2021/01/01,动画,[風車字幕組十周年][數碼寶貝大冒險/數碼獸大冒險][最後的進化 絆][LAST EVOLUTION-Kizuna][1080P][繁體][BDrip][MP4][童年翻譯版],2.6GB,76,1,13,風車字幕組,magnet:?xt=urn:btih:16b6c6fd0514e31aa55629983fda905d81d4fb28&tr=http://open.acgtracker.com:1096/announce
2021/01/01,动画,[风车字幕组十周年][数码宝贝大冒险/数码兽大冒险][最后的进化 绊][LAST EVOLUTION-Kizuna][1080P][简体][BDrip][MP4][童年翻译版],2.6GB,0,0,0,风车字幕组,magnet:?xt=urn:btih:054b06a16f14aaefdb0db298d222f35cb2b6969c&tr=http://open.acgtracker.com:1096/announce
2021/01/01,动画,[風車字幕組十周年][數碼寶貝大冒險/數碼獸大冒險][最後的進化 絆][LAST EVOLUTION-Kizuna][1080P][繁體][BDrip][MP4][日語直譯版],2.6GB,0,0,0,風車字幕組,magnet:?xt=urn:btih:08cbe8abbcfc80785c303d71bb0af1853dbcc2ad&tr=http://open.acgtracker.com:1096/announce
2021/01/01,动画,[风车字幕组十周年][数码宝贝大冒险/数码兽大冒险][最后的进化 绊][LAST EVOLUTION-Kizuna][1080P][简体][BDrip][MP4][日语直译版],2.6GB,22,1,8,风车字幕组,magnet:?xt=urn:btih:cd3f7cdbaeceb251b82e8aa1ebfd3ec49ed72a55&tr=http://open.acgtracker.com:1096/announce
2020/12/31,动画,[NEO·QSW]哥斯拉 ゴジラ Godzilla 1954[BDrip HEVC 1080P],7.7GB,0,0,0,NEO·QSW,magnet:?xt=urn:btih:06b0a72e159329f1366b183d0627efc72b29cd3f&tr=http://open.acgtracker.com:1096/announce
2020/12/31,动画,[星空字幕组][甜梦猫 / ミュークルドリーミー / Mewkledreamy][Vol.1][01-12][BDrip][1080P][简繁日外挂],9.6GB,15,0,6,星空字幕组,magnet:?xt=urn:btih:69c52e6b8477c49c77f03a35ab8e3e55c488d258&tr=http://open.acgtracker.com:1096/announce
2020/12/31,动画,【幻櫻字幕組】【劇場版】【Trinity Seven 魔道書7使者/七人魔法使 悠久圖書館和鍊金術少女+天空圖書館和真紅的魔王】【BDrip】【BIG5_MP4】【1080P】【合集】,4.9GB,321,0,39,幻櫻字幕組,magnet:?xt=urn:btih:7ef29e7b43f3b8bf2a6efbd6c57769f19e4cf133&tr=http://open.acgtracker.com:1096/announce
2020/12/31,动画,【幻樱字幕组】【剧场版】【Trinity Seven 魔道书7使者/七人魔法使 悠久图书馆和炼金术少女+天空图书馆和真红的魔王】【BDrip】【GB_MP4】【1080P】【合集】,4.9GB,0,0,0,幻樱字幕组,magnet:?xt=urn:btih:d92ef9070501468518caaf9e972d83fb517d00e5&tr=http://open.acgtracker.com:1096/announce
